REACTION ID,Classification,Component,,Common_name,Available,Reactant,Dependant_index,C,H,N,S,O,Product,k_constant,E[kj/mol],n,K_old,E_old,n_old,,,
R-98,DIESEL,Dimethyldiphenyl,"1,1'-biphenyl, 2,4-dimethyl-","1,1'-biphenyl, 2,4-dimethyl-",Yes,H2,1,14,7,0,0,0,1,11.521,6.3,-1.089,11.521,6.3,-1.089,,,
R-99,LFO/DIESEL,Pentadecene,1-pentadecene,1-pentadecene,Yes,H2,1,15,15,0,0,0,1,17.88,6.3,-1.089,17.88,6.3,-1.089,,,
R-100,LFO/DIESEL,n-C16,hexadecane,hexadecane,Yes,H2,1,16,17,0,0,0,1,46.822,6.3,-1.089,46.822,6.3,-1.089,,,
R-101,DIESEL,Phenanthrene,,phenanthrene,No,H2,1,14,5,0,0,0,1,34.666,6.3,-1.089,34.666,6.3,-1.089,,,
R-102,LFO,Anthracene,anthracene,anthracene,Yes,H2,1,14,5,0,0,0,1,38.059,6.3,-1.089,38.059,6.3,-1.089,,,
R-103,DIESEL,Methylphenanthrene,4-methylphenanthrene,4-methylphenanthrene,Yes,H2,1,15,6,0,0,0,1,36.925,6.3,-1.089,36.925,6.3,-1.089,,,
R-104,LFO,Pentadecanoic acid,pentadecanoic acid,pentadecanoic acid,Yes,H2,1,15,15,0,0,1,1,64.017,6.3,-1.089,64.017,6.3,-1.089,,,
R-105,DIESEL,Methylphenanthrene,4-methylphenanthrene,4-methylphenanthrene,Yes,H2,1,15,6,0,0,0,1,41.028,6.3,-1.089,41.028,6.3,-1.089,,,
R-106,LFO,Methylphenanthrene,3-methylphenanthrene,3-methylphenanthrene,Yes,H2,1,15,6,0,0,0,1,46.908,6.3,-1.089,46.908,6.3,-1.089,,,
R-107,DIESEL,Methylphenanthrene,2-methylphenanthrene,2-methylphenanthrene,Yes,H2,1,15,6,0,0,0,1,82.056,6.3,-1.089,82.056,6.3,-1.089,,,
R-108,LFO/DIESEL,Nonadecane,,Nonadecane,Yes,H2,1,19,20,0,0,0,1,12.247,6.3,-1.089,12.247,6.3,-1.089,,,
R-109,,Trimethylphenanthrene,,,No,H2,1,17,8,0,0,0,1,22.599,6.3,-1.089,22.599,6.3,-1.089,,,
R-110,LFO,Isopropylmethylphenanthrene,1-methyl-7-propan-2-ylphenanthrene,retene,Yes,H2,1,18,9,0,0,0,1,51.627,6.3,-1.089,51.627,6.3,-0.7,,,
R-111,LFO,Eicosane,eicosane,eicosane,Yes,H2,1,20,21,0,0,0,1,13.594,6.3,-1.089,13.594,6.3,-0.7,,,
R-112,LFO,Heneicosane,heneicosane,heneicosane,Yes,H2,1,21,22,0,0,0,1,15.524,6.3,-1.089,15.524,6.3,-0.7,,,
R-113,LFO,Docosane,docosane,docosane,Yes,H2,1,22,23,0,0,0,1,12.028,6.3,-1.089,12.028,6.3,-0.7,,,
R-114,,Tricosane,,,No,H2,1,23,24,0,0,0,1,15.641,6.3,-1.089,15.641,6.3,-0.7,,,
R-115,LFO,Tetracosane,tetracosane,tetracosane,Yes,H2,1,24,25,0,0,0,1,3.029,6.3,-1.089,3.029,6.3,-0.7,,,
R-116,Diesel,Undecane,undecane,undecane,Yes,H2,1,11,12,0,0,0,1,35.684,6.3,-1.089,35.684,6.3,-1.089,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,s,,,,,,,,,,,,,,,,,,,,,
